vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum,segment_pre_0,segment_pre_1,segment_pre_2,segment_pre_3,segment_pre_4,segment_label_0,segment_label_1,segment_label_2,segment_label_3,segment_label_4
宁A6G732_0,1,b'2021-08-24 11:09:11',0,17.12262511253357,16.93332016468048,1.694003,5.689277,4.100037,4.2160015,1.300423,1.65,5.7,4.18332,4.1666403,1.2333599
宁A11G25_0,1,b'2021-08-24 11:23:54',0,21.553380489349365,21.200040578842163,2.047712,7.282829,5.09482,5.2436175,1.4867954,2.1,6.78336,5.29998,5.56668,1.45002
宁AS867W_0,11,b'2021-08-24 11:25:13',0,18.551913499832153,18.333359956741333,1.8993223,6.2665234,4.4250307,4.5478044,1.4081609,1.78332,6.3333597,4.51668,4.38336,1.31664
皖KBF851_0,1,b'2021-08-24 11:25:56',1,18.38355302810669,20.266680121421814,1.8536042,6.182515,4.4033585,4.534371,1.3499913,2.11668,6.68334,4.9166403,5.13336,1.41666
宁AJ7561_1,16,b'2021-08-24 11:26:30',1,25.73383927345276,40.949939489364624,2.5891743,8.369503,6.2874146,6.4671,1.9321252,2.56668,8.66664,21.79998,6.0,1.9166399
陕B55615_1,16,b'2021-08-24 11:37:25',1,25.647767186164856,26.116679906845093,2.5406885,8.358363,6.189962,6.344209,1.900927,2.55,8.350019,6.56664,6.61668,2.03334
冀J6X386_1,16,b'2021-08-24 11:37:57',0,26.469333171844482,26.283300518989563,2.6190047,8.529864,6.3963766,6.56855,1.9592229,2.56668,8.916659,6.11664,6.83334,1.84998
宁A983Y5_0,1,b'2021-08-24 11:40:40',0,18.84846568107605,21.566700339317322,1.8916185,6.341914,4.487013,4.592286,1.3798182,2.28336,7.56666,4.99998,5.18334,1.53336
宁A6227J_0,1,b'2021-08-24 11:45:13',1,18.262715935707092,17.966639399528503,1.799857,6.157746,4.2796,4.400571,1.3481967,1.86666,5.83332,4.4833198,4.41666,1.36668
宁A007W8_0,11,b'2021-08-24 11:46:18',0,20.34220576286316,18.083279728889465,2.0800588,6.86341,4.7662888,4.8923593,1.5239693,1.78332,6.28332,4.31664,4.33332,1.36668
