vehicle_id,vehicle type,time,first appear,pre_sum,label_sum,segment_pre_0,segment_pre_1,segment_pre_2,segment_pre_3,segment_pre_4,segment_label_0,segment_label_1,segment_label_2,segment_label_3,segment_label_4
甘M7N773_0,1,b'2021-08-31 09:20:10',1,26.84066892,37.65006065,1.8982325,5.4521556,2.0148382,6.123722,12.3012,1.71666,5.03334,1.9666799,5.95002,22.98336
宁DAZ226_0,1,b'2021-08-31 09:20:22',1,27.02616692,27.20004022,1.9102333,5.4109144,2.0224626,6.102426,12.357903,1.9833599,5.46666,2.0833201,5.63334,12.03336
宁A1R737_0,1,b'2021-08-31 09:20:40',1,26.99353337,28.19999993,1.9138894,5.4796305,2.0279462,6.1707096,12.362347,2.01666,5.63334,2.16666,6.03336,12.34998
宁AY061W_0,1,b'2021-08-31 09:20:45',0,28.18883657,28.6500603,1.9870857,5.660738,2.1071286,6.4294357,12.91651,2.05002,5.43336,1.9833599,6.11664,13.06668
宁AU620D_0,1,b'2021-08-31 09:23:25',0,25.3840363,23.44997942,1.800945,5.154499,1.9406033,5.6881747,11.58939,1.5,4.68336,1.63332,5.14998,10.48332
宁A63F67_0,1,b'2021-08-31 09:28:29',1,27.21020579,26.68331981,1.9239728,5.5254784,2.0388422,6.232015,12.472997,1.73334,4.66668,2.05002,6.11664,12.11664
宁A5EV87_0,1,b'2021-08-31 09:28:33',0,27.15058923,27.14999914,1.9193919,5.477238,2.0330288,6.174342,12.431999,1.76664,5.1166797,1.9666799,6.28332,12.01668
宁ACJ230_0,1,b'2021-08-31 09:29:23',0,26.57899082,27.23339975,1.88636,5.472485,2.002243,6.1364694,12.1669,1.8,5.18334,1.9666799,5.8833604,12.400021
宁A9S810_0,1,b'2021-08-31 09:30:57',1,26.77079201,25.76663911,1.8999459,5.4706163,2.0130124,6.1234655,12.224701,1.73334,5.14998,1.9166399,5.4,11.56668
宁B9E599_0,1,b'2021-08-31 09:30:59',1,27.04280019,25.76663911,1.921438,5.5228705,2.0340457,6.202186,12.371685,1.8333601,5.14998,1.9499999,5.31666,11.51664
宁BBL068_0,1,b'2021-08-31 09:31:10',1,27.32066631,27.31661975,1.9236253,5.476855,2.0365233,6.1607146,12.47299,1.9333199,5.1666603,2.0666401,6.01668,12.13332
宁A6CD92_0,11,b'2021-08-31 09:31:13',0,29.25220549,27.01668084,2.037481,5.796219,2.168239,6.627097,13.3910055,1.9333199,5.25,1.9166399,5.58336,12.333361
宁AV292Z_0,1,b'2021-08-31 09:34:20',0,24.62551475,23.68332088,1.7680378,4.914919,1.9314761,5.3623757,11.053719,1.5499799,4.63332,1.68336,5.35002,10.46664
宁CAD656_0,1,b'2021-08-31 09:39:00',1,26.94745839,27.70008087,1.9072723,5.41262,2.0180972,6.0776343,12.257956,1.8333601,5.35002,2.01666,5.65002,12.850019
宁B33379_1,2,b'2021-08-31 09:41:03',0,30.8028388,30.83334088,2.13687,6.038449,2.2957125,6.9950175,13.633222,1.9333199,5.56668,2.11668,6.66666,14.55
宁BAR521_0,1,b'2021-08-31 09:41:56',1,27.06784487,26.31672084,1.925928,5.505777,2.0372174,6.187337,12.354129,1.86666,5.1166797,1.9833599,5.91666,11.43336
宁A3BP33_0,1,b'2021-08-31 09:43:44',0,29.81058419,39.79997993,2.076111,5.73781,2.217218,6.55991,13.160073,1.60002,5.14998,17.14998,5.4,10.5
宁A7Y440_0,1,b'2021-08-31 09:44:51',0,26.27979755,25.09997964,1.874206,5.3972344,1.9929352,5.993682,11.963459,1.71666,4.93332,1.75002,5.18334,11.51664
宁DE7326_0,1,b'2021-08-31 09:46:00',0,39.30633903,53.549999,2.6716456,6.558654,2.9920042,7.4159403,15.993588,1.9833599,6.11664,24.51666,6.9,14.0333395
豫B73U33_0,1,b'2021-08-31 09:50:01',1,27.1257484,25.96674085,1.9150999,5.499851,2.0229883,6.190796,12.391374,1.8333601,5.33334,1.9000201,5.50002,11.4
宁ES7521_0,1,b'2021-08-31 09:50:31',1,27.04060078,36.48329973,1.909275,5.435961,2.0149913,6.12289,12.325482,1.65,5.20002,12.199981,5.74998,11.68332
宁BP1998_0,1,b'2021-08-31 09:52:48',0,25.28129339,25.00002086,1.7881545,5.0175943,1.9180208,5.538945,11.465732,1.5833399,5.0166597,1.66668,5.4499803,11.2833605
宁CE5222_1,16,b'2021-08-31 09:54:10',0,36.11072302,35.91665983,2.4188175,6.985679,2.664136,7.991724,16.951698,2.29998,6.73332,2.46666,7.5833397,16.833359
宁B19368_1,3,b'2021-08-31 09:54:32',0,31.67035818,30.68334103,2.1366222,6.096051,2.2902908,7.082391,14.388549,2.05002,5.68332,2.18334,6.56664,14.200021
